What is regulator of transcriptional activation of the MET gene network.,1,4,,,,,,,,,,,,,,,,
What is the target of transcriptional activation of the MET gene network,1,4,,,,,,,,,,,,,,,,
Is the transcriptional activation of the MET gene network positive or negative.,1,4,,,,,,,,,,,,,,,,
What is regulator of induction of REG2 expression during the diauxic shift.,2,3,,,,,,,,,,,,,,,,
What is the target of induction during the diauxic shift is dependent on Cat8p.,2,3,,,,,,,,,,,,,,,,
Is the induction of REG2 expression during the diauxic shift positive or negative.,2,3,,,,,,,,,,,,,,,,
What is regulator that acts cooperatively to bind the PHO5 promoter and activate PHO5 transcription.,3,4,,,,,,,,,,,,,,,,
What is the target when phosphate is depleted Pho4p and Pho2p  act cooperatively.,3,4,,,,,,,,,,,,,,,,
Is the process of Pho4p,3,4,,,,,,,,,,,,,,,,
What is regulator of PHO5 and PHO81,4,4,,,,,,,,,,,,,,,,
What is the target of Pho2p.,4,4,,,,,,,,,,,,,,,,
Is the process of Pho2p regulation positive or negative.,4,4,,,,,,,,,,,,,,,,
What is regulator of GUT1.,5,4,,,,,,,,,,,,,,,,
What is the target of activators Adr1p  Ino2p  and Ino4p.,5,4,,,,,,,,,,,,,,,,
Is the process of GUT1 resulation positive or negative.,5,4,,,,,,,,,,,,,,,,
What is regulator of GUT1 repression.,6,4,,,,,,,,,,,,,,,,
What is the target of regulator Opi1p.,6,4,,,,,,,,,,,,,,,,
Is the process of regulator Opi1p facilitating GUT1 repression positive or negative.,6,4,,,,,,,,,,,,,,,,
What is regulator of SUC2 under glucose-repressing conditions.,7,3,,,,,,,,,,,,,,,,
What is the target of Mig1 under glucose-repressing conditions.,7,3,,,,,,,,,,,,,,,,
Is the regulation of SUC2 under glucose-repressing conditions positive or negative.,7,3,,,,,,,,,,,,,,,,
What is regulator of SUC2.,8,3,,,,,,,,,,,,,,,,
What is the target of HXK2.,8,3,,,,,,,,,,,,,,,,
Is the regulation of SUC2 positive or negative.,8,3,,,,,,,,,,,,,,,,
What is regulator of ADE2.,9,2,,,,,,,,,,,,,,,,
What is the target of Bas1p.,9,2,,,,,,,,,,,,,,,,
Is the process of binding to a site containing a TGACTC hexanucleotide found in the ADE2 positive or negative. ,9,2,,,,,,,,,,,,,,,,
What is regulator of downregulation of GAT1 under nitrogen-rich conditions.,10,1,,,,,,,,,,,,,,,,
What is the target of repressor Dal80p.,10,1,,,,,,,,,,,,,,,,
Is the downregulation of GAT1 under nitrogen-rich conditions positive or negative.,10,1,,,,,,,,,,,,,,,,
What is regulator of MDJ1 expression.,11,4,,,,,,,,,,,,,,,,
What is the target of the transcription factor Hsf1p.,11,4,,,,,,,,,,,,,,,,
Is the process of MDJ1 regulation positive or negative.,11,4,,,,,,,,,,,,,,,,
What is regulator of of the alcohol dehydrogenase gene ADH2.,12,3,,,,,,,,,,,,,,,,
What is the target of Adr1p.,12,3,,,,,,,,,,,,,,,,
Is the process of Adr1p mediating expression of the alcohol dehydrogenase gene ADH2 positive or negative.,12,3,,,,,,,,,,,,,,,,
What is regulator ofIZH1 and IZH4,13,4,,,,,,,,,,,,,,,,
What is the target of Oaf1p/Pip2p complex.,13,4,,,,,,,,,,,,,,,,
Is the process of IZH1 and IZH4 induced by fatty acids via the Oaf1p/Pip2p complex positive or negative.,13,4,,,,,,,,,,,,,,,,
What is regulator of ANB1.,14,4,,,,,,,,,,,,,,,,
What is the target of Rox1p .,14,4,,,,,,,,,,,,,,,,
Is the process of mediating transcriptional repression of ANB1 under aerobic conditions positive or negative.,14,4,,,,,,,,,,,,,,,,
What is regulator of transcription of MET17.,16,3,,,,,,,,,,,,,,,,
What is the target of Met4p and Cbf1p.,16,3,,,,,,,,,,,,,,,,
Is the process of MET17 regulation positive or negative.,16,3,,,,,,,,,,,,,,,,
What is regulator of ADE13.,17,3,,,,,,,,,,,,,,,,
What is the target of transcription factors Bas1p and Pho2p.,17,3,,,,,,,,,,,,,,,,
Is the activation ADE13 positive or negative.,17,3,,,,,,,,,,,,,,,,
What is regulator of FBP1.,18,4,29,1,6,1,40,1,16,1,42,1,44,1,45,1,48,1
What is the target of Mig1p.,18,4,,,,,,,,,,,,,,,,
Is the regulation effected through consensus sequences in the FBP1 promoter region for the repressor Mig1 ppositive or negative.,18,4,,,,,,,,,,,,,,,,
What is regulator of FET3 and FTR1.,19,4,,,,,,,,,,,,,,,,
What is the target of Aft1p.,19,4,,,,,,,,,,,,,,,,
Is the induction FET3 and FTR1 positive or negative.,19,4,,,,,,,,,,,,,,,,
